epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1945.78,0.60376,0.67707,1.11239,0.83973,0.72475,0.82019,0.64548,0.76271,0.82514,1.24698,0.000312497,0.000312497,0.000312497
43,1992.27,0.60822,0.68967,1.12299,0.79687,0.75586,0.82125,0.64039,0.75871,0.81435,1.25762,0.000307289,0.000307289,0.000307289
44,2038.16,0.60523,0.66694,1.1162,0.81021,0.75906,0.81765,0.64311,0.76827,0.83506,1.27016,0.000302082,0.000302082,0.000302082
45,2084.59,0.5964,0.66374,1.10139,0.84762,0.75544,0.83236,0.65684,0.74562,0.77416,1.24823,0.000296874,0.000296874,0.000296874
46,2131.2,0.59961,0.65588,1.11185,0.79472,0.76004,0.82515,0.64804,0.76429,0.80797,1.26241,0.000291667,0.000291667,0.000291667
47,2177.93,0.59499,0.6555,1.10943,0.81476,0.77304,0.84013,0.6666,0.74592,0.75577,1.25379,0.00028646,0.00028646,0.00028646
48,2224.57,0.59186,0.64308,1.10303,0.80062,0.7649,0.8199,0.65004,0.74585,0.81226,1.24998,0.000281252,0.000281252,0.000281252
49,2271.12,0.58961,0.64906,1.10999,0.84446,0.76053,0.83865,0.66222,0.73604,0.76919,1.23376,0.000276045,0.000276045,0.000276045
50,2317.51,0.57874,0.63515,1.09635,0.81724,0.76624,0.82757,0.64661,0.75548,0.78439,1.26228,0.000270837,0.000270837,0.000270837
51,2363,0.57691,0.6249,1.10017,0.80699,0.74696,0.81773,0.64818,0.75872,0.80141,1.26512,0.00026563,0.00026563,0.00026563
52,2408.65,0.5878,0.62892,1.1004,0.85692,0.74092,0.84351,0.67135,0.72063,0.77571,1.23117,0.000260423,0.000260423,0.000260423
53,2454.47,0.58293,0.60756,1.09393,0.83731,0.74714,0.8284,0.65722,0.73092,0.78464,1.23827,0.000255215,0.000255215,0.000255215
54,2500.45,0.57277,0.60063,1.0983,0.85028,0.76341,0.83549,0.65803,0.7352,0.77635,1.2357,0.000250008,0.000250008,0.000250008
55,2546.74,0.57299,0.58628,1.09158,0.83639,0.76168,0.81823,0.65041,0.72968,0.78183,1.2319,0.0002448,0.0002448,0.0002448
56,2592.81,0.56467,0.59762,1.08899,0.84727,0.76184,0.83715,0.67685,0.72033,0.75173,1.22286,0.000239593,0.000239593,0.000239593
57,2639.24,0.55264,0.57848,1.08056,0.79847,0.79275,0.83791,0.67019,0.72987,0.76637,1.2306,0.000234386,0.000234386,0.000234386
58,2685.29,0.56337,0.5865,1.08643,0.85126,0.74721,0.83145,0.67064,0.71214,0.76529,1.21943,0.000229178,0.000229178,0.000229178
59,2731.25,0.55271,0.5817,1.07886,0.83918,0.7768,0.83581,0.67495,0.73392,0.76946,1.23903,0.000223971,0.000223971,0.000223971
60,2777.4,0.54932,0.56132,1.07487,0.82941,0.76434,0.83114,0.67068,0.71855,0.77037,1.21797,0.000218763,0.000218763,0.000218763
61,2823.23,0.54855,0.57092,1.07434,0.85131,0.75907,0.83639,0.67384,0.71743,0.74735,1.2298,0.000213556,0.000213556,0.000213556
62,2869.5,0.55407,0.56328,1.07629,0.83471,0.78153,0.83335,0.67205,0.72471,0.74818,1.23437,0.000208349,0.000208349,0.000208349
63,2915.55,0.55246,0.56319,1.0733,0.85142,0.76181,0.84378,0.67938,0.71999,0.73733,1.22835,0.000203141,0.000203141,0.000203141
